Ticker,Company Name,Industry
AGCO,Agco Corporation,farm & heavy construction machinery
AGE,Agex Therapeutics,biotechnology
AGEN,Agenus,biotechnology
AGFS,Agrofresh Solutions,farm products
AGFY,Agrify,specialty business services
AGGR,Agile Growth,shell companies
AGI,Alamos Gold,gold
AGIO,Agios Pharmaceuticals,biotechnology
AGL,Agilon Health,medical care facilities
AGLE,Aeglea Biotherapeutics,biotechnology
AGM,Federal Agricultural Mortgage,credit services
AGM.A,Federal Agricultural Mortgage,credit services
AGMH,Agm Group Holdings,software-application
AGNC,Agnc Investment,reit-mortgage
AGO,Assured Guaranty,insurance-specialty
AGR,Avangrid,utilities-regulated electric
AGRI,Agriforce Growing Systems,farm products
AGRO,Adecoagro,farm products
AGRX,Agile Therapeutics,drug manufacturers-specialty & generic
AGS,Playags,gambling
AGTC,Applied Genetic Technologies,biotechnology
AGTI,Agiliti,health information services
AGX,Argan,engineering & construction
AGYS,Agilysys,software-application
AHAC,Alpha Healthcare Acquisition,shell companies
AHCO,Adapthealth,medical devices
AHH,Armada Hoffler Properties,reit-diversified
AHPI,Allied Healthcare Products,medical devices
AHT,Ashford Hospitality Trust,reit-hotel & motel
AI,C3.Ai,information technology services
AIG,American International Group,insurance-diversified
AIH,Aesthetic Medical International,medical care facilities
AIHS,Senmiao Technology,credit services
AIKI,Aikido Pharma,biotechnology
AIM,Aim Immunotech,biotechnology
AIMC,Altra Industrial Motion,specialty industrial machinery
AIN,Albany International,textile manufacturing
AINC,Ashford,asset management
AINV,Apollo Investment,asset management
AIR,Aar Corp.,aerospace & defense
AIRC,Apartment Income Reit,reit-residential
AIRG,Airgain,communication equipment
AIRI,Air Industries Group,aerospace & defense
AIRT,Air T,integrated freight & logistics
AIT,Applied Industrial Technologies,industrial distribution
AIV,Aimco,reit-residential
AIZ,Assurant,insurance-specialty
AJAX,Ajax I,shell companies
AJG,Arthur J. Gallagher,insurance brokers
AJRD,Aerojet Rocketdyne,aerospace & defense
AJX,Great Ajax,reit-mortgage
AKAM,Akamai Technologies,software-infrastructure
AKBA,Akebia Therapeutics,biotechnology
AKIC,Sports Ventures Acquisition,shell companies
AKO.A,Embotelladora Andina,beverages-non-alcoholic
AKO.B,Embotelladora Andina,beverages-non-alcoholic
AKR,Acadia Realty Trust,reit-retail
AKRO,Akero Therapeutics,biotechnology
AKTS,Akoustis Technologies,communication equipment
AKTX,Akari Therapeutics,biotechnology
AKU,Akumin,diagnostics & research
AKUS,Akouos,biotechnology
AKYA,Akoya Biosciences,medical instruments & supplies
AL,Air Lease Corporation,rental & leasing services
ALAC,Alberton Acquisition,shell companies
ALB,Albemarle,specialty chemicals
ALBO,Albireo Pharma,biotechnology
ALC,Alcon,medical instruments & supplies
ALCC,Altc Acquisition,shell companies
ALCO,"Alico, Inc.",farm products
ALDX,Aldeyra Therapeutics,biotechnology
ALE,"Allete, Inc.",utilities-diversified
ALEC,Alector,biotechnology
ALEX,Alexander & Baldwin,reit-diversified
ALF,Alfi,software-infrastructure
ALG,Alamo Group,farm & heavy construction machinery
ALGM,Allegro Microsystems,semiconductors
ALGN,Align Technology,medical devices
ALGS,Aligos Therapeutics,biotechnology
ALGT,Allegiant Travel,airlines
ALHC,Alignment Healthcare,healthcare plans
ALIM,Alimera Sciences,drug manufacturers-specialty & generic
ALIT,Alight,human resources consulting services
ALJJ,Alj Regional Holdings,specialty business services
ALK,Alaska Air Group,airlines
ALKS,Alkermes,biotechnology
ALKT,Alkami Technology,software-application
ALL,Allstate,insurance-property & casualty
ALLE,Allegion,security & protection services
ALLK,Allakos,biotechnology
ALLO,Allogene Therapeutics,biotechnology
ALLT,Allot Ltd.,software-infrastructure
ALLY,Ally Financial,credit services
ALNA,Allena Pharmaceuticals,biotechnology
ALNY,Alnylam Pharmaceuticals,biotechnology
ALOT,Astronova,computer hardware
ALPN,Alpine Immune Sciences,biotechnology
ALRM,Alarm.Com,software-application
ALRN,Aileron Therapeutics,biotechnology
ALRS,Alerus Financial,banks-regional
ALSN,Allison Transmission Holdings,auto parts
ALT,Altimmune,biotechnology
ALTA,Altabancorp,banks-regional
ALTG,Alta Equipment Group,rental & leasing services
ALTM,Altus Midstream,oil & gas midstream
ALTO,Alto Ingredients,oil & gas refining & marketing
ALTR,Altair Engineering,software-infrastructure
ALTU,Altitude Acquisition,shell companies
ALV,Autoliv,auto parts
ALVR,Allovir,biotechnology
ALX,Alexander'S,reit-retail
ALXO,Alx Oncology Holdings,biotechnology
ALYA,Alithya Group,information technology services
ALZN,Alzamend Neuro,biotechnology
AM,Antero Midstream,oil & gas midstream
AMAL,Amalgamated Bank,banks-regional
AMAM,Ambrx Biopharma,biotechnology
AMAO,American Acquisition Opportunity,shell companies
AMAT,Applied Materials,semiconductor equipment & materials
AMBA,Ambarella,semiconductor equipment & materials
AMBC,Ambac Financial Group,insurance-specialty
AMBO,Ambow Education Holding,education & training services
AMBP,Ardagh Mp Usa,packaging & containers
AMC,Amc Entertainment,entertainment
AMCR,Amcor,packaging & containers
AMCX,Amc Networks,broadcasting
AMD,Advanced Micro Devices,semiconductors
AME,"Ametek, Inc.",specialty industrial machinery
AMED,Amedisys,medical care facilities
AMEH,Apollo Medical Holdings,medical care facilities
AMG,Affiliated Managers Group,asset management
AMGN,Amgen,drug manufacturers-general
AMH,American Homes 4 Rent,reit-residential
AMHC,Amplitude Healthcare Acquisition,shell companies
AMK,Assetmark Financial,asset management
AMKR,Amkor Technology,semiconductors
AMN,Amn Healthcare Services,medical care facilities
AMNB,American National Bankshares,banks-regional
AMOT,Allied Motion Technologies,electronic components
AMOV,America Movil,telecom services
AMP,Ameriprise Financial,asset management
AMPE,Ampio Pharmaceuticals,biotechnology
AMPG,Amplitech Group,communication equipment
AMPH,Amphastar Pharmaceuticals,drug manufacturers-specialty & generic
AMPI,Advanced Merger Partners,shell companies
AMPY,Amplify Energy,oil & gas e&p
AMR,Alpha Metallurgical Resources,bituminous coal and lignite surface mining
AMRC,Ameresco,engineering & construction
AMRK,A-Mark Precious Metals,capital markets
AMRN,Amarin,biotechnology
AMRS,Amyris,specialty chemicals
AMRX,Amneal Pharmaceuticals,drug manufacturers-specialty & generic
AMS,American Shared Hospital Services,medical care facilities
AMSC,American Superconductor,specialty industrial machinery
AMSF,"Amerisafe, Inc.",insurance-specialty
AMST,Amesite,software-application
AMSWA,American Software,software-application
AMT,American Tower,reit-specialty
AMTB,Amerant Bancorp,banks-regional
AMTBB,Amerant Bancorp,banks-regional
AMTI,Applied Molecular Transport,biotechnology
AMTX,Aemetis,oil & gas refining & marketing
AMWD,American Woodmark,"furnishings, fixtures & appliances"
AMWL,Amwell,health information services
AMX,America Movil,telecom services
AMYT,Amryt Pharma,drug manufacturers-specialty & generic
AMZN,Amazon,internet retail
AN,Autonation,auto & truck dealerships
ANAB,Anaptysbio,biotechnology
ANAC,Arctos Northstar Acquisition,shell companies
ANAT,American National Insurance,insurance-diversified
ANDE,Andersons,food distribution
ANEB,Anebulo Pharmaceuticals,biotechnology
ANET,Arista Networks,computer hardware
ANF,Abercrombie & Fitch,apparel retail
ANGI,Angi Homeservices,internet content & information
ANGN,Angion Biomedica,biotechnology
ANGO,Angiodynamics,medical instruments & supplies
ANIK,Anika Therapeutics,biotechnology
ANIP,Ani Pharmaceuticals,drug manufacturers-specialty & generic
ANIX,Anixa Biosciences,diagnostics & research
ANNX,Annexon Biosciences,biotechnology
ANPC,Anpac Bio-Medical Science,biotechnology
ANSS,"Ansys, Inc.",software-application
ANTE,Airnet Technology,telecom services
ANTM,Anthem,healthcare plans
ANVS,Annovis Bio,biotechnology
ANY,Sphere 3D,software-application
ANZU,Anzu Special Acquisition I,shell companies
AOMR,Angel Oak Mortgage,reit-mortgage
AON,Aon Plc,insurance brokers
AOS,A. O. Smith,specialty industrial machinery
AOSL,Alpha & Omega Semiconductor,semiconductors
AOUT,American Outdoor Brands,leisure
AP,Ampco-Pittsburgh,metal fabrication
APA,Apache,oil & gas e&p
APAM,Artisan Partners Asset Management,asset management
APD,Air Products & Chemicals,chemicals
APDN,Applied Dna Sciences,diagnostics & research
APEI,American Public Education,education & training services
APEN,Apollo Endosurgery,medical devices
APG,Api Group,engineering & construction
APGB,Apollo Strategic Growth Capital Ii,shell companies
APH,Amphenol,electronic components
API,Agora,software-application
APLE,Apple Hospitality Reit,reit-hotel & motel
APLS,Apellis Pharmaceuticals,biotechnology
APLT,Applied Therapeutics,biotechnology
APM,Aptorum Group,biotechnology
APO,Apollo Global Management,asset management
APOG,Apogee Enterprises,building products & equipment
APOP,Cellect Biotechnology,biotechnology
APP,Applovin,software-application
APPF,Appfolio,software-application
APPH,Appharvest,farm products
APPN,Appian Corporation,software-infrastructure
APPS,Digital Turbine,software-application
APR,Apria,medical instruments & supplies
APRE,Aprea Therapeutics,biotechnology
APRN,Blue Apron,internet retail
APSG,Apollo Strategic Growth Capital,shell companies
APT,Alpha Pro Tech,building products & equipment
APTO,Aptose Biosciences,biotechnology
APTS,Preferred Apartment Communities,reit-residential
APTV,Aptiv,auto parts
APTX,Aptinyx,biotechnology
APVO,Aptevo Therapeutics,biotechnology
APWC,Asia Pacific Wire & Cable,electrical equipment & parts
APYX,Apyx Medical,medical devices
AQB,Aquabounty Technologies,farm products
AQMS,Aqua Metals,waste management
AQN,Algonquin Power & Utilities,utilities-renewable
AQST,Aquestive Therapeutics,biotechnology
AQUA,Evoqua Water Technologies,pollution & treatment controls
AR,Antero Resources,oil & gas e&p
ARAV,Aravive,biotechnology
ARAY,Accuray,medical devices
ARBG,Aequi Acquisition,shell companies
ARC,Arc Document Solutions,specialty business services
ARCB,Arcbest,trucking
ARCC,Ares Capital,asset management
ARCE,Arco Platform,education & training services
ARCH,Arch Coal,thermal coal
ARCO,Arcos Dorados Holdings,restaurants
ARCT,Arcturus Therapeutics,biotechnology
ARD,Ardagh Group Sa,packaging & containers
ARDS,Aridis Pharmaceuticals,biotechnology
ARDX,Ardelyx,biotechnology
ARE,Alexandria Real Estate Equities,reit-office
AREC,American Resources,thermal coal
ARES,Ares Management,asset management
ARGO,Argo Group International,insurance-property & casualty
ARGX,Argenx Se,biotechnology
ARI,Apollo Commercial Real Estate Finance,reit-mortgage
ARKO,Arko,new car dealers
ARKR,Ark Restaurants,restaurants
ARL,American Realty Investors,real estate-development
ARLO,Arlo Technologies,security & protection services
ARLP,Alliance Resource Partners,thermal coal
ARMK,Aramark,restaurants
ARMP,Armata Pharmaceuticals,biotechnology
ARNA,Arena Pharmaceuticals,biotechnology
ARNC,Arconic,specialty industrial machinery
AROC,Archrock,oil & gas equipment & services
AROW,Arrow Financial,banks-regional
ARPO,Aerpio Pharmaceuticals,biotechnology
ARQT,Arcutis Biotherapeutics,biotechnology
ARR,Armour Residential Reit,reit-mortgage
ARRW,Arrowroot Acquisition,shell companies
ARRY,Array Technologies,solar
ARTA,Artisan Acquisition,shell companies
ARTL,Artelo Biosciences,biotechnology
ARTNA,Artesian Resources,utilities-regulated water
ARTW,Art'S-Way Manufacturing,farm & heavy construction machinery
ARVL,Arrival,auto manufacturers
ARVN,Arvinas,biotechnology
ARW,Arrow Electronics,electronics & computer distribution
ARWR,Arrowhead Pharmaceuticals,biotechnology
ARYD,Arya Sciences Acquisition Iv,shell companies
ARYE,Arya Sciences Acquisition V,shell companies
ASA,Asa Gold And Precious Metals,asset management
ASAI,Sendas Distribuidora,household & personal products
ASAN,Asana,software-application
ASAQ,Atlantic Street Acquisition,shell companies
ASAX,Astrea Acquisition,shell companies
ASB,Associated Banc-Corp,banks-regional
ASC,Ardmore Shipping,marine shipping
ASGN,Asgn Incorporated,staffing & employment services
ASH,Ashland,specialty chemicals
ASIX,Advansix,chemicals
ASLE,Aersale,airports & air services
ASLN,Aslan Pharmaceuticals,biotechnology
ASM,Avino Silver & Gold Mines,other precious metals & mining
ASMB,Assembly Biosciences,biotechnology
ASML,Asml Holding,semiconductor equipment & materials
ASND,Ascendis Pharma A/S,biotechnology
ASO,Academy Sports And Outdoors,"beer, wine, and liquor stores"
ASPC,Alpha Capital Acquisition,shell companies
ASPN,Aspen Aerogels,building products & equipment
ASPS,Altisource Portfolio Solutions,mortgage finance
ASPU,Aspen Group,education & training services
ASR,Grupo Aeroportuario Del Sureste,airports & air services
ASRT,Assertio Therapeutics,drug manufacturers-specialty & generic
ASRV,Ameriserv Financial,banks-regional
ASTC,Astrotech,aerospace & defense
ASTE,Astec Industries,farm & heavy construction machinery
ASTR,Astra Space,aerospace & defense
ASTS,Ast Spacemobile,telecom services
ASUR,Asure Software,software-application
ASX,Ase Technology,semiconductors
ASXC,Asensus Surgical,medical devices
ASYS,Amtech Systems,semiconductor equipment & materials
ASZ,Austerlitz Acquisition Ii,shell companies
ATA,Americas Technology Acquisition,shell companies
ATAI,Atai Life Sciences,biotechnology
ATAQ,Altimar Acquisition Iii,shell companies
ATAX,America First Multifamily Investors,mortgage finance
ATC,Atotech,electronic components
ATCO,Atlas Corp.,asset management
ATCX,Atlas Technical Consultants,engineering & construction
ATEC,Alphatec Holdings,medical devices
ATEN,A10 Networks,software-infrastructure
ATER,Aterian,consumer electronics
ATEX,Anterix,telecom services
ATGE,Adtalem Global Education,education & training services
ATH,Athene Holding,insurance-diversified
ATHA,Athira Pharma,biotechnology
ATHE,Alterity Therapeutics,biotechnology
ATHM,Autohome,internet content & information
ATHN,Athena Technology Acquisition,shell companies
ATHX,Athersys,biotechnology
ATI,Allegheny Technologies,metal fabrication
ATIF,Atif Holdings,capital markets
ATIP,Ati Physical Therapy,medical care facilities
ATKR,Atkore International Group,electrical equipment & parts
ATLC,Atlanticus Holdings,credit services
ATLO,Ames National,banks-regional
ATMR,Altimar Acquisition Ii,shell companies
ATNF,180 Life Sciences,biotechnology
ATNI,Atn International,telecom services
ATNM,Actinium Pharmaceuticals,biotechnology
ATNX,Athenex,drug manufacturers-specialty & generic
ATO,Atmos Energy,utilities-regulated gas
ATOM,Atomera,semiconductor equipment & materials
ATOS,Atossa Therapeutics,biotechnology
ATR,Aptargroup,packaging & containers
ATRA,Atara Biotherapeutics,biotechnology
ATRC,Atricure,medical instruments & supplies
ATRI,Atrion Corporation,medical instruments & supplies
ATRO,Astronics Corporation,aerospace & defense
ATRS,Antares Pharma,medical instruments & supplies
ATSG,Air Transport Services Group,integrated freight & logistics
ATTO,Atento,specialty business services
ATUS,Altice Usa,telecom services
ATVC,Tribe Capital Growth I,shell companies
ATVI,Activision Blizzard,electronic gaming & multimedia
ATXI,Avenue Therapeutics,biotechnology
ATY,Acuityads,internet content & information
AU,Anglogold Ashanti,gold
AUB,Atlantic Union Bankshares,banks-regional
AUBN,Auburn National Bancorporation,banks-regional
AUD,Audacy,broadcasting
AUDC,Audiocodes,communication equipment
AUMN,Golden Minerals,other precious metals & mining
AUPH,Aurinia Pharmaceuticals,biotechnology
AURC,Aurora Acquisition,shell companies
AUS,Austerlitz Acquisition I,shell companies
AUTL,Autolus Therapeutics,biotechnology
AUTO,Autoweb,internet content & information
AUUD,Auddia,software-application
AUVI,Applied Uv,"furnishings, fixtures & appliances"
AUY,Yamana Gold,gold
AVA,Avista,utilities-diversified
AVAH,Aveanna Healthcare Holdings,medical care facilities
AVAL,Grupo Aval Acciones Y Valores,banks-regional
AVAN,Avanti Acquisition,shell companies
AVAV,Aerovironment,aerospace & defense
AVB,Avalonbay Communities,reit-residential
AVCO,Avalon Globocare,medical care facilities
AVCT,American Virtual Cloud Technologies,information technology services
AVD,American Vanguard,agricultural inputs
AVDL,Avadel Pharmaceuticals,drug manufacturers-specialty & generic
AVEO,Aveo Pharmaceuticals,biotechnology
AVGO,Broadcom,semiconductors
AVGR,Avinger,medical devices
AVID,Avid Technology,electronic gaming & multimedia
AVIR,Atea Pharmaceuticals,biotechnology
AVLR,Avalara,software-application
AVNS,Avanos Medical,medical devices
AVNT,Avient,specialty chemicals
AVNW,Aviat Networks,communication equipment
AVO,Mission Produce,farm products
AVPT,Avepoint,software-infrastructure
AVRO,Avrobio,biotechnology
AVT,Avnet,electronics & computer distribution
AVTE,Aerovate Therapeutics,biotechnology
AVTR,Avantor,specialty chemicals
AVXL,Anavex Life Sciences,biotechnology
AVY,Avery Dennison,business equipment & supplies
AVYA,Avaya Holdings,software-application
AWH,Aspira Women'S Health,diagnostics & research
AWI,Armstrong World Industries,building products & equipment
AWK,American Water Works,utilities-regulated water
AWR,American States Water,utilities-regulated water
AWRE,Aware,software-application
AWX,Avalon Holdings,waste management
AX,Axos Financial,banks-regional
AXDX,Accelerate Diagnostics,diagnostics & research
AXGN,Axogen,medical devices
AXL,American Axle & Manufacturing,auto parts
AXLA,Axcella Health,biotechnology
AXNX,Axonics Modulation Technologies,medical devices
AXON,Axon Enterprise,aerospace & defense
AXP,American Express,credit services
AXR,Amrep Corporation,real estate services
AXS,Axis Capital Holdings,insurance-property & casualty
AXSM,Axsome Therapeutics,biotechnology
AXTA,Axalta Coating Systems,specialty chemicals
AXTI,Axt Inc.,semiconductor equipment & materials
AXU,Alexco Resource,other precious metals & mining
AY,Atlantica Sustainable Infrastructure,utilities-renewable
AYI,Acuity Brands,electrical equipment & parts
AYLA,Ayala Pharmaceuticals,biotechnology
AYRO,"Ayro, Inc.",auto manufacturers
AYTU,Aytu Bioscience,biotechnology
AYX,Alteryx,software-application
AZEK,Azek Company,building products & equipment
AZN,Astrazeneca,drug manufacturers-general
AZO,Autozone,specialty retail
AZPN,Aspen Technology,software-application
AZRE,Azure Power Global,utilities-renewable
AZRX,Azurrx Biopharma,biotechnology
AZUL,Azul S.A.,airlines
AZYO,Aziyo Biologics,medical devices
AZZ,Azz Inc.,electrical equipment & parts
B,Barnes Group,specialty industrial machinery
BA,Boeing,aerospace & defense
BABA,Alibaba Group,internet retail
BAC,Bank Of America,banks-diversified
BAH,Booz Allen Hamilton,consulting services
BAK,Braskem,chemicals
BALY,Bally'S Corporation,resorts & casinos
BAM,Brookfield Asset Management,asset management
BANC,Banc Of California,banks-regional
BAND,Bandwidth,software-infrastructure
BANF,Bancfirst Corporation,banks-regional
BANR,Banner Corporation,banks-regional
BANX,Stonecastle Financial,asset management
BAOS,Baosheng Media Group,advertising agencies
BAP,Credicorp,banks-regional
BARK,The Original Bark Company,specialty retail
BASE,Couchbase,software-infrastructure
BATL,Battalion Oil,oil & gas e&p
BAX,Baxter International,medical instruments & supplies
BB,Blackberry,software-infrastructure
BBAR,Banco Bbva Argentina,banks-regional
BBBY,Bed Bath & Beyond,specialty retail
BBCP,Concrete Pumping Holdings,engineering & construction
BBD,Banco Bradesco,banks-regional
BBDC,Barings Bdc,credit services
BBGI,Beasley Broadcast Group,broadcasting
BBI,Brickell Biotech,biotechnology
BBIG,Vinco Ventures,leisure
BBIO,Bridgebio Pharma,biotechnology
BBL,Bhp Group,other industrial metals & mining
BBQ,Bbq Holdings,restaurants
BBSI,Barrett Business Services,staffing & employment services
BBU,Brookfield Business Partners,conglomerates
BBVA,Banco Bilbao Vizcaya Argentaria,banks-diversified
BBW,Build-A-Bear Workshop,specialty retail
BBWI,Bath & Body Works,specialty retail
BBY,Best Buy,specialty retail
BC,Brunswick,leisure
BCAB,Bioatla,biotechnology
BCAC,Brookline Capital Acquisition,shell companies
BCBP,Bcb Bancorp,banks-regional
BCC,Boise Cascade,lumber & wood production
BCDA,Biocardia,biotechnology
BCE,"Bce, Inc.",telecom services
BCEI,Bonanza Creek Energy,oil & gas e&p
BCEL,Atreca,biotechnology
BCH,Banco De Chile Sa,banks-regional
BCLI,Brainstorm Cell Therapeutics,biotechnology
BCML,Baycom,banks-regional
BCO,Brink'S Company,security & protection services
BCOR,Blucora,asset management
BCOV,Brightcove,software-application
BCOW,1895 Bancorp Of Wisconsin,banks-regional
BCPC,Balchem Corporation,specialty chemicals
BCRX,Biocryst Pharmaceuticals,biotechnology
BCS,Barclays,banks-diversified
BCSF,Bain Capital,asset management
BCTX,Briacell Therapeutics,biotechnology
BCYC,Bicycle Therapeutics,biotechnology
BCYP,Big Cypress Acquisition,shell companies
BDC,Belden,electrical equipment & parts
BDL,Flanigan'S Enterprises,restaurants
BDN,Brandywine Realty Trust,reit-office
BDR,Blonder Tongue Laboratories,communication equipment
BDSI,Biodelivery Sciences,drug manufacturers-specialty & generic
BDSX,Biodesix,diagnostics & research
BDTX,Black Diamond Therapeutics,biotechnology
BDX,"Becton, Dickinson",medical instruments & supplies
BE,Bloom Energy,electrical equipment & parts
BEAM,Beam Therapeutics,biotechnology
BECN,Beacon Roofing Supply,building products & equipment
BEDU,Bright Scholar Education,education & training services
BEEM,Beam Global,solar
BEKE,Ke Holdings,real estate services
BELFA,Bel Fuse,electronic components
BELFB,Bel Fuse,electronic components
BEN,Franklin Resources,asset management
BENE,Benessere Capital Acquisition,shell companies
BEP,Brookfield Renewable Partners,utilities-renewable
BEPC,Brookfield Renewable Corporation,utilities-renewable
BERY,Berry Global Group,packaging & containers
BEST,Best Inc.,trucking
BF.A,Brown-Forman,beverages-wineries & distilleries
BF.B,Brown-Forman,beverages-wineries & distilleries
BFAM,Bright Horizons Family Solutions,personal services
BFC,Bank First,banks-regional
BFI,Burgerfi International,restaurants
BFIN,Bankfinancial Corporation,banks-regional
BFLY,Butterfly Network,medical devices
BFRA,Biofrontera Ag,biotechnology
BFS,Saul Centers,reit-retail
BFST,Business First Bancshares,banks-regional
BG,Bunge,farm products
BGCP,Bgc Partners,capital markets
